disease_name,search_name,description,symptoms,symptoms_count,image_url,local_image_path
cardiac tamponade,Cardiac tamponade,"Cardiac tamponade, also known as pericardial tamponade, is a compression of the heart due to pericardial effusion. Onset may be rapid or gradual. Symptoms typically include those of obstructive shock including shortness of breath, weakness, lightheadedness, and cough. Other symptoms may relate to the underlying cause.",shortness of breath | weakness | lightheadedness | cough | [ | 1 | ],7,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Hemorragic_effusion.jpg/330px-Hemorragic_effusion.jpg,data/images\Cardiac_tamponade.jpg
aortic dissection,Aortic dissection,"Aortic dissection (AD) occurs when an injury to the innermost layer of the aorta allows blood to flow between the layers of the aortic wall, forcing the layers apart. In most cases, this is associated with a sudden onset of agonizing chest or back pain, often described as ""tearing"" in character. Vomiting, sweating, and lightheadedness may also occur. Damage to other organs may result from the decreased blood supply, such as stroke, lower extremity ischemia, or mesenteric ischemia. Aortic dissect",severe | chest or back pain | vomiting | sweating | lightheadedness | [ | 1 | ] | [ | 2 | ],11,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/AoDissekt_scheme_StanfordB_en.png/330px-AoDissekt_scheme_StanfordB_en.png,data/images\Aortic_dissection.jpg
aortic aneurysm,Aortic aneurysm,"An aortic aneurysm is an enlargement (dilatation) of the aorta to greater than 1.5 times normal size. Typically, there are no symptoms except when the aneurysm dissects or ruptures, which causes sudden, severe pain in the abdomen and lower back.",abdominal pain and back pain,1,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Aortic_aneurysm_hariadhi_svg.svg/330px-Aortic_aneurysm_hariadhi_svg.svg.png,data/images/aortic_aneurysm.jpg
peripheral artery disease,Peripheral artery disease,"Peripheral artery disease (PAD) is a vascular disorder that causes abnormal narrowing of arteries other than those that supply the heart or brain. PAD can happen in any blood vessel, but it is more common in the legs than the arms.",leg pain when walking that resolves with rest | skin ulcers | bluish skin | cold skin | [ | 2 | ] | [ | 3 | ] | loss of hair | unusually smooth or shiny skin,12,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Arterial_ulcer_peripheral_vascular_disease.jpg/330px-Arterial_ulcer_peripheral_vascular_disease.jpg,data/images/peripheral_artery_disease.jpg
deep vein thrombosis,Deep vein thrombosis,"Deep vein thrombosis (DVT) is a type of venous thrombosis involving the formation of a blood clot in a deep vein, most commonly in the legs or pelvis. A minority of DVTs occur in the arms. Symptoms can include pain, swelling, redness, and enlarged veins in the affected area, but some DVTs have no symptoms.",pain | swelling | redness | enlarged veins in the affected limb | [ | 1 | ],7,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Deep_vein_thrombosis_of_the_right_leg.jpg/330px-Deep_vein_thrombosis_of_the_right_leg.jpg,data/images/deep_vein_thrombosis.jpg
varicose veins,Varicose veins,"Varicose veins, also known as varicoses, are a medical condition in which superficial veins become enlarged and twisted. Although usually just a cosmetic ailment, in some cases they cause fatigue, pain, itching, and nighttime leg cramps. These veins typically develop in the legs, just under the skin. Their complications can include bleeding, skin ulcers, and superficial thrombophlebitis. Varices in the scrotum are known as varicocele, while those around the anus are known as hemorrhoids. The phy",none | fullness | pain in the area | [ | 2 | ],6,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Leg_Before_1.jpg/330px-Leg_Before_1.jpg,data/images\Varicose_veins.jpg
thrombophlebitis,Thrombophlebitis,"Thrombophlebitis is a phlebitis related to a thrombus. When it occurs repeatedly in different locations, it is known as thrombophlebitis migrans.",skin redness | [ | 1 | ],4,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Great_saphenous_vein_thrombosis_05091312009.jpg/330px-Great_saphenous_vein_thrombosis_05091312009.jpg,data/images\Thrombophlebitis.jpg
raynaud syndrome,Raynaud phenomenon,"Raynaud syndrome, also known as Raynaud's phenomenon, is a medical condition in which the spasm of small arteries causes episodes of reduced blood flow to end arterioles. Typically the disease affects the fingers, and, less commonly, the toes, though it rarely also affects the nose, ears, nipples, or lips. The episodes classically result in the affected part turning white and then blue. Often, numbness or pain occurs. As blood flow returns, the area turns red and burns. The episodes typically la",an affected part turning | white | then | blue | then red | burning | [ | 2 | ],9,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Raynaud_syndrome_on_female_airman%27s_hand.jpg/330px-Raynaud_syndrome_on_female_airman%27s_hand.jpg,data/images\Raynaud_syndrome.jpg
giant cell arteritis,Giant cell arteritis,"Giant cell arteritis (GCA), also called temporal arteritis, is an inflammatory autoimmune disease of large blood vessels. Symptoms may include headache, pain over the temples, flu-like symptoms, double vision, and difficulty opening the mouth. Complications can include blockage of the artery to the eye with resulting blindness, as well as aortic dissection, and aortic aneurysm. GCA is frequently associated with polymyalgia rheumatica.",headache | pain over the temples | flu-like symptoms | double vision | difficulty opening the mouth | [ | 3 | ],8,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Gray508.png/330px-Gray508.png,data/images\Giant_cell_arteritis.jpg
kawasaki disease,Kawasaki disease,"Kawasaki disease is a syndrome of unknown cause that results in a fever and mainly affects children under 5 years of age. It is a form of vasculitis, in which medium-sized blood vessels become inflamed throughout the body. The fever typically lasts for more than five days and is not affected by antipyretics. Other common symptoms include large lymph nodes in the neck, a rash in the genital area, lips, palms, or soles of the feet, and red eyes. Within three weeks of the onset, the skin from the h",fever > 5 days | large lymph nodes | rash | sore throat | diarrhea | [ | 1 | ],8,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Kawasaki_Disease.png/330px-Kawasaki_Disease.png,data/images\Kawasaki_disease.jpg
infective endocarditis,Infective endocarditis,"Infective endocarditis is an infection of the inner surface of the heart (endocardium), usually the valves. Signs and symptoms may include fever, small areas of bleeding into the skin, heart murmur, feeling tired, and low red blood cell count. Complications may include backward blood flow in the heart, heart failure – the heart struggling to pump a sufficient amount of blood to meet the body's needs, abnormal electrical conduction in the heart, stroke, and kidney failure.",fever | small areas of bleeding into the skin | heart murmur | fatigue | low red blood cells | [ | 1 | ],8,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Haemophilus_parainfluenzae_Endocarditis_PHIL_851_lores.jpg/330px-Haemophilus_parainfluenzae_Endocarditis_PHIL_851_lores.jpg,data/images\Infective_endocarditis.jpg
mitral valve prolapse,Mitral valve prolapse,"Mitral valve prolapse (MVP) is a valvular heart disease characterized by the displacement of an abnormally thickened mitral valve leaflet into the left atrium during systole. It is the primary form of myxomatous degeneration of the valve. There are various types of MVP, broadly classified as classic and nonclassic. In severe cases of classic MVP, complications include mitral regurgitation, infective endocarditis, congestive heart failure, and, in rare circumstances, cardiac arrest.",palpitations | atypical precordial pain | dyspnea on exertion | low | bmi | electrocardiogram abnormalities ( | ventricular tachycardia | ) | syncope | low blood pressure | headaches | lightheadedness | dysautonomia | ),14,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Heart_mitral_valve_prolapse.svg/330px-Heart_mitral_valve_prolapse.svg.png,data/images\Mitral_valve_prolapse.jpg
aortic stenosis,Aortic stenosis,"Aortic stenosis is the narrowing of the outlet of the main pumping chamber of the heart, the left ventricle (LV). If the narrowing is severe the extra work required from the left ventricle to pump the blood against the increased resistance of a small orifice may cause thickening of the heart muscle, followed by severe weakness of the heart. The most common form of AS involves the aortic valve, which separates the LV from the aorta. Much more rarely stenosis can occur below the aortic valve or ab",decreased ability to exercise | loss of consciousness | shortness of breath | heart related chest pain | leg swelling | [ | 1 | ],8,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Aortic_stenosis_rheumatic%2C_gross_pathology_20G0014_lores.jpg/330px-Aortic_stenosis_rheumatic%2C_gross_pathology_20G0014_lores.jpg,data/images\Aortic_stenosis.jpg
aortic regurgitation,Aortic regurgitation,"Aortic regurgitation (AR), also known as aortic insufficiency (AI), is the leaking of the aortic valve of the heart that causes blood to flow in the reverse direction during ventricular diastole, from the aorta into the left ventricle. As a consequence, the cardiac muscle is forced to work harder than normal.",dyspnea on exertion | orthopnea | [ | 1 | ],5,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Blausen_0039_AorticRegurgitation.png/330px-Blausen_0039_AorticRegurgitation.png,data/images\Aortic_regurgitation.jpg
mitral stenosis,Mitral stenosis,"Mitral stenosis is a valvular heart disease characterized by the narrowing of the opening of the mitral valve of the heart. It is almost always caused by rheumatic valvular heart disease. Normally, the mitral valve is about 5 cm2 during diastole. Any decrease in area below 2 cm2 causes mitral stenosis. Early diagnosis of mitral stenosis in pregnancy is very important as the heart cannot tolerate increased cardiac output demand as in the case of exercise and pregnancy. Atrial fibrillation is a co",dyspnea on exertion | orthopnea and paroxysmal nocturnal dyspnea | palpitations | chest pain | hemoptysis | ascites | edema and hepatomegaly | late stage: | thromboembolism,9,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Mitral_stenosis%2C_gross_pathology_20G0015_lores.jpg/330px-Mitral_stenosis%2C_gross_pathology_20G0015_lores.jpg,data/images\Mitral_stenosis.jpg
mitral regurgitation,Mitral regurgitation,"Mitral regurgitation (MR), also known as mitral insufficiency or mitral incompetence, is a form of valvular heart disease in which the mitral valve is insufficient and does not close properly when the heart pumps out blood. It is the abnormal leaking of blood backwards – regurgitation from the left ventricle, through the mitral valve, into the left atrium, when the left ventricle contracts. Mitral regurgitation is the most common form of valvular heart disease.",heart murmur | shortness of breath | during exercise or lying down | fatigue | pulmonary infiltrate | palpitations | swollen feet or ankles | [ | 1 | ],10,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Mitral_Regurgitation_scheme1.png/330px-Mitral_Regurgitation_scheme1.png,data/images/mitral_regurgitation.jpg
tricuspid regurgitation,Tricuspid regurgitation,"Tricuspid regurgitation (TR), also called tricuspid insufficiency, is a type of valvular heart disease in which the tricuspid valve of the heart, located between the right atrium and right ventricle, does not close completely when the right ventricle contracts (systole). TR allows the blood to flow backwards from the right ventricle to the right atrium, which increases the volume and pressure of the blood both in the right atrium and the right ventricle, which may increase central venous volume ",ascites | [ | 1 | ],4,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Severe_tricuspid_regurgitation_E00572_%28CardioNetworks_ECHOpedia%29.jpg/330px-Severe_tricuspid_regurgitation_E00572_%28CardioNetworks_ECHOpedia%29.jpg,data/images\Tricuspid_regurgitation.jpg
gastroenteritis,Gastroenteritis,"Gastroenteritis, also known as infectious diarrhea, is an inflammation of the gastrointestinal tract including the stomach and intestine. Symptoms may include diarrhea, vomiting, and abdominal pain. Fever, lack of energy, and dehydration may also occur. This typically lasts less than two weeks. Although it is not related to influenza, in Canada and the United States it is often referred to as ""stomach flu"".",diarrhea | vomiting | abdominal | pain | fever | [ | 1 | ] | [ | 2 | ],11,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Gastroenteritis_viruses.jpg/330px-Gastroenteritis_viruses.jpg,data/images\Gastroenteritis.jpg
peptic ulcer disease,Peptic ulcer,"Peptic ulcer disease refers to damage of the inner part of the stomach's gastric mucosa, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer. The most common symptoms of a duodenal ulcer are waking at night with upper abdominal pain, and upper abdominal pain that improves with eating. With a gastric ulcer, the pain may worsen with eating. The pain is often des",heartburn | upper abdominal pain | nausea | belching | vomiting | blood in the stool | weight loss | weight gain | bloating | loss of appetite | [ | 1 | ] | difficulty swallowing,14,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Gastric_Ulcer.png/330px-Gastric_Ulcer.png,data/images\Peptic_ulcer_disease.jpg
gastritis,Gastritis,"Gastritis is the inflammation of the lining of the stomach. It may occur as a short episode or have a long duration. There may be no symptoms, but the most common symptom is upper abdominal pain. Other symptoms include nausea and vomiting, bloating, indigestion, loss of appetite and heartburn. Complications may include stomach bleeding, stomach ulcers, and stomach tumors. Autoimmune atrophic gastritis may lead to issues including pernicious anemia.",upper | abdominal pain | nausea | vomiting | bloating | indigestion | loss of appetite | heartburn | [ | 1 | ] | [ | 2 | ],14,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Gastritis_helicobacter_-_intermed_mag.jpg/330px-Gastritis_helicobacter_-_intermed_mag.jpg,data/images\Gastritis.jpg
gastroesophageal reflux disease,Gastroesophageal reflux disease,"Gastroesophageal reflux disease (GERD) or gastro-oesophageal reflux disease (GORD) is a chronic upper gastrointestinal disease in which stomach content persistently and regularly flows up into the esophagus, resulting in symptoms and/or complications. Symptoms include dental corrosion, dysphagia, heartburn, odynophagia, regurgitation, non-cardiac chest pain, extraesophageal symptoms such as chronic cough, hoarseness, reflux-induced laryngitis, or asthma. In the long term, and when not treated, c",taste of acid | heartburn | bad breath | chest pain | breathing problems | [ | 6 | ],8,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Gastroesophageal_reflux_barium_X-ray.jpg/330px-Gastroesophageal_reflux_barium_X-ray.jpg,data/images\Gastroesophageal_reflux_disease.jpg
barrett's esophagus,Barrett esophagus,"Barrett's esophagus is a condition in which there is an abnormal (metaplastic) change in the mucosal cells that line the lower part of the esophagus. The cells change from stratified squamous epithelium to simple columnar epithelium, interspersed with goblet cells that are normally only found in the small intestine and large intestine. This change is considered to be a premalignant condition because of its potential to transition into esophageal adenocarcinoma, an often-deadly cancer.",nausea,1,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Barretts_esophagus.jpg/330px-Barretts_esophagus.jpg,data/images\Barrett's_esophagus.jpg
esophageal achalasia,Achalasia,"Esophageal achalasia, often referred to simply as achalasia, is a failure of smooth muscle fibers to relax, which can cause the lower esophageal sphincter to remain closed. Without a modifier, ""achalasia"" usually refers to achalasia of the esophagus. Achalasia can happen at various points along the gastrointestinal tract; achalasia of the rectum, for instance, may occur in Hirschsprung's disease. The lower esophageal sphincter is a muscle between the esophagus and stomach that opens when food co",anorexia (but willing and trying to eat) | inability to swallow food | chest pain comparable to heart attack | lightheadedness | dehydration | excessive vomiting after eating (often without nausea).,6,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Achalasia2010.jpg/330px-Achalasia2010.jpg,data/images\Esophageal_achalasia.jpg
esophageal varices,Esophageal varices,"Esophageal varices are extremely dilated sub-mucosal veins in the lower third of the esophagus. They are most often a consequence of portal hypertension, commonly due to cirrhosis. People with esophageal varices have a strong tendency to develop severe bleeding which when left untreated can be fatal. Esophageal varices are typically diagnosed through an esophagogastroduodenoscopy.",vomiting blood | passing black stool,2,https://upload.wikimedia.org/wikipedia/commons/b/b6/Esophageal_varices_-_wale.jpg,data/images\Esophageal_varices.jpg
mallory–weiss syndrome,Mallory-Weiss syndrome,"Mallory–Weiss syndrome is a condition where high intra-abdominal pressures causes laceration and bleeding of the mucosa called Mallory-Weiss tears. Additionally, Mallory–Weiss syndrome is one of the most common causes of acute upper gastrointestinal bleeding, counting of around 1-15% of all cases in adults and less than 5% in children. It has been found that tears are up to 2 to 4 times more prevalent in men than women. The tears can cause upper gastrointestinal bleeding and predominantly occur ",bleeding,1,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Mallory_Weiss_Tear.tif/lossy-page1-330px-Mallory_Weiss_Tear.tif.jpg,data/images\Mallory–Weiss_syndrome.jpg
gastroparesis,Gastroparesis,"Gastroparesis is a medical disorder of ineffective neuromuscular contractions (peristalsis) of the stomach, resulting in food and liquid remaining in the stomach for a prolonged period. Stomach contents thus exit more slowly into the duodenum of the digestive tract, a medical sign called delayed gastric emptying. The opposite of this, where stomach contents exit quickly into the duodenum, is called dumping syndrome.","nausea | vomiting | abdominal pain | feeling full after consuming very little (""early satiety"")",4,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/GastroparesisXray.jpg/330px-GastroparesisXray.jpg,data/images/gastroparesis.jpg
coeliac disease,Celiac disease,"Coeliac disease or celiac disease is a chronic autoimmune disease, mainly affecting the small intestine. It is caused by an abnormal immune system response to gluten, a protein found in wheat and other grains such as barley and rye. Coeliac disease causes a wide range of symptoms and complications that can affect multiple organs outside the gastrointestinal tract.",none or | non-specific | diarrhoea | malabsorption | and weight loss.,5,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Coeliac_disease_endoscopy.jpg/330px-Coeliac_disease_endoscopy.jpg,data/images\Coeliac_disease.jpg
irritable bowel syndrome,Irritable bowel syndrome,"Irritable bowel syndrome (IBS) is a functional gastrointestinal disorder characterized by a group of symptoms that commonly include abdominal pain, abdominal bloating, and changes in the consistency of bowel movements. These symptoms may occur over a long time, sometimes for years. IBS can negatively affect quality of life and may result in missed school or work or reduced productivity at work. Disorders such as anxiety, major depression, and myalgic encephalomyelitis/chronic fatigue syndrome ar",diarrhea | constipation | abdominal | pain | [ | 1 | ] | nausea | [ | 2 | ] | flatulence | frequent urination | [ | 3 | ],16,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Irritable_bowel_syndrome.jpg/330px-Irritable_bowel_syndrome.jpg,data/images\Irritable_bowel_syndrome.jpg
crohn's disease,Crohn disease,"Crohn's disease is a type of inflammatory bowel disease (IBD) that may affect any segment of the gastrointestinal tract. Symptoms often include abdominal pain, diarrhea, fever, abdominal distension, and weight loss. Complications outside of the gastrointestinal tract may include anemia, skin rashes, arthritis, inflammation of the eye, and fatigue. The skin rashes may be due to infections, as well as pyoderma gangrenosum or erythema nodosum. Bowel obstruction may occur as a complication of chroni",abdominal pain | diarrhea | (may be bloody) | fever | weight loss | [ | 1 | ] | fatigue | mouth sores | reduced appetite | [ | 2 | ],14,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Macro_Il%C3%A9on_terminal%2C_caecum_et_c%C3%B4lon_ascendant_-_Maladie_de_Crohn_55-o.apatho-1691p-ilcaco.jpg/330px-Macro_Il%C3%A9on_terminal%2C_caecum_et_c%C3%B4lon_ascendant_-_Maladie_de_Crohn_55-o.apatho-1691p-ilcaco.jpg,data/images\Crohn's_disease.jpg
ulcerative colitis,Ulcerative colitis,"Ulcerative colitis (UC) is one of the two types of inflammatory bowel disease (IBD), with the other type being Crohn's disease. It is a long-term condition that results in inflammation and ulcers of the colon and rectum. The primary symptoms of active disease are abdominal pain and diarrhea mixed with blood (hematochezia). Weight loss, fever, and anemia may also occur. Often, symptoms come on slowly and can range from mild to severe. Symptoms typically occur intermittently with periods of no sym",abdominal pain | diarrhea | mixed with | blood | weight loss | fever | anemia | [ | 1 | ] | dehydration | loss of appetite | fatigue | sores on the skin | urgency to defecate | inability to defecate despite urgency | rectal pain | [ | 2 | ],20,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/UC_granularity.png/330px-UC_granularity.png,data/images\Ulcerative_colitis.jpg
microscopic colitis,Microscopic colitis,"Microscopic colitis refers to two related medical conditions which cause diarrhea: collagenous colitis and lymphocytic colitis. Both conditions are characterized by the presence of chronic non-bloody watery diarrhea, normal appearances on colonoscopy and characteristic histopathology findings of inflammatory cells.",persistent diarrhea,1,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Collagenous_colitis_-_intermed_mag.jpg/330px-Collagenous_colitis_-_intermed_mag.jpg,data/images\Microscopic_colitis.jpg
diverticulitis,Diverticulitis,"Diverticulitis, also called colonic diverticulitis, is a gastrointestinal disease characterized by inflammation of abnormal pouches—diverticula—that can develop in the wall of the large intestine. Symptoms typically include lower abdominal pain of sudden onset, but the onset may also occur over a few days. There may also be nausea, diarrhea or constipation. Fever or blood in the stool suggests a complication. People may experience a single attack, repeated attacks, or ongoing ""smoldering"" divert",abdominal pain | fever | nausea | diarrhea | constipation | blood in the stool | [ | 1 | ],9,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Diverticula%2C_sigmoid_colon.jpg/330px-Diverticula%2C_sigmoid_colon.jpg,data/images\Diverticulitis.jpg
diverticulosis,Diverticulosis,"Diverticulosis is the condition of having multiple pouches (diverticula) in the colon that are not inflamed. These are outpockets of the colonic mucosa and submucosa through weaknesses of muscle layers in the colon wall. Diverticula do not cause symptoms in most people. Diverticular disease occurs when diverticula become clinically inflamed, a condition known as diverticulitis.",weakness,1,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Diverticulosis_%28two_diverticula%29_01.svg/330px-Diverticulosis_%28two_diverticula%29_01.svg.png,data/images/diverticulosis.jpg
bowel obstruction,Intestinal obstruction,"Bowel obstruction, also known as intestinal obstruction, is a mechanical or functional obstruction of the intestines that prevents the normal movement of the products of digestion. Either the small bowel or large bowel may be affected. Signs and symptoms include abdominal pain, vomiting, bloating and not passing gas. Mechanical obstruction is the cause of about 5 to 15% of cases of severe abdominal pain of sudden onset requiring admission to hospital.",abdominal pain | vomiting | bloating | not passing | gas | [ | 1 | ],8,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Upright_X-ray_demonstrating_small_bowel_obstruction.jpg/330px-Upright_X-ray_demonstrating_small_bowel_obstruction.jpg,data/images/bowel_obstruction.jpg
volvulus,Volvulus,"A volvulus is a bowel obstruction resulting from a loop of intestine twisting around itself and its supporting mesentery. Symptoms include abdominal pain, abdominal bloating, vomiting, constipation, and bloody stool. Onset of symptoms may be rapid or more gradual. The mesentery may become so tightly twisted that blood flow to part of the intestine is cut off, resulting in ischemic bowel. In this situation there may be fever or significant pain when the abdomen is touched.",abdominal pain | abdominal bloating | vomiting | constipation | bloody stool | [ | 1 | ] | [ | 2 | ],11,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Volvulus.PNG/330px-Volvulus.PNG,data/images/volvulus.jpg
hirschsprung's disease,Hirschsprung disease,"Hirschsprung's disease is a birth defect in which nerves are missing from parts of the intestine. The most prominent symptom is constipation. Other symptoms may include vomiting, abdominal pain, diarrhea and slow growth. Most children develop signs and symptoms shortly after birth. However, others may be diagnosed later in infancy or early childhood. About half of all children with Hirschsprung's disease are diagnosed in the first year of life. Complications may include enterocolitis, megacolon,",constipation | vomiting | abdominal pain | diarrhea | slow growth | [ | 1 | ],8,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Hirschsprung_acetylcholine.jpg/330px-Hirschsprung_acetylcholine.jpg,data/images\Hirschsprung's_disease.jpg
short bowel syndrome,Short bowel syndrome,"Short bowel syndrome is a rare malabsorption disorder caused by a lack of functional small intestine. The primary symptom is diarrhea, which can result in dehydration, malnutrition, and weight loss. Other symptoms may include bloating, heartburn, feeling tired, lactose intolerance, and foul-smelling stool. Complications can include anemia and kidney stones.",diarrhea | dehydration | malnutrition | weight loss | [ | 1 | ],7,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/ResectedIleum.jpg/330px-ResectedIleum.jpg,data/images\Short_bowel_syndrome.jpg
lactose intolerance,Lactose intolerance,"Lactose intolerance is caused by a lessened ability or a complete inability to digest lactose, a sugar found in dairy products. Humans vary in the amount of lactose they can tolerate before symptoms develop. Symptoms may include abdominal pain, bloating, diarrhea, flatulence, and nausea. These symptoms typically start thirty minutes to two hours after eating or drinking something containing lactose, with the severity typically depending on the amount consumed. Lactose intolerance does not cause ",abdominal pain | bloating | diarrhea | flatulence | nausea | [ | 1 | ],8,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Lactose_Haworth.svg/330px-Lactose_Haworth.svg.png,data/images/lactose_intolerance.jpg
angiodysplasia,Angiodysplasia,"In medicine (gastroenterology), angiodysplasia is a small vascular malformation of the gut. It is a common cause of otherwise unexplained gastrointestinal bleeding and anemia. Lesions are often multiple, and frequently involve the cecum or ascending colon, although they can occur at other places. Treatment may be with colonoscopic interventions, angiography and embolization, medication, or occasionally surgery.",bleeding,1,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Argon_plasma_coagulation.jpg/330px-Argon_plasma_coagulation.jpg,data/images/angiodysplasia.jpg
hemorrhoid,Hemorrhoids,"Hemorrhoids, also known as piles, are vascular structures in the anal canal. In their normal state, they are cushions that help with stool control. They become a disease when swollen or inflamed; the unqualified term hemorrhoid is often used to refer to the disease. The signs and symptoms of hemorrhoids depend on the type present. Internal hemorrhoids often result in painless, bright red rectal bleeding when defecating. External hemorrhoids often result in pain and swelling in the area of the an",internal | : painless | bright red | rectal bleeding | [ | 3 | ] | external | : pain and swelling around the | anus | [ | 4 | ],13,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Internal_and_external_hemorrhoids.png/330px-Internal_and_external_hemorrhoids.png,data/images\Hemorrhoid.jpg
anal fissure,Anal fissure,"An anal fissure is a break or tear in the skin of the anal canal. Anal fissures may be noticed by bright red anal bleeding on toilet paper and undergarments, or sometimes in the toilet. If acute, they are painful after defecation, but with chronic fissures, pain intensity often reduces and becomes cyclical.",pain | bleeding,2,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Anal_fissure_2.jpg/330px-Anal_fissure_2.jpg,data/images\Anal_fissure.jpg
fecal incontinence,Fecal incontinence,"Fecal incontinence (FI), or in some forms, encopresis, is a lack of control over defecation, leading to involuntary loss of bowel contents—including flatus (gas), liquid stool elements and mucus, or solid feces. FI is a sign or a symptom, not a diagnosis. Incontinence can result from different causes and might occur with either constipation or diarrhea. Continence is maintained by several interrelated factors, including the anal sampling mechanism, and incontinence usually results from a deficie",diarrhea,1,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Anorectum-en.svg/330px-Anorectum-en.svg.png,data/images\Fecal_incontinence.jpg
gallstone,Gallstones,"A gallstone is a stone formed within the gallbladder from precipitated bile components. The term cholelithiasis may refer to the presence of gallstones or to any disease caused by gallstones, and choledocholithiasis refers to the presence of migrated gallstones within bile ducts.",none | crampy pain in the right upper | abdomen | [ | 2 | ] | [ | 3 | ] | [ | 4 | ],12,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Gallstones.png/330px-Gallstones.png,data/images\Gallstone.jpg
cholecystitis,Cholecystitis,"Cholecystitis is inflammation of the gallbladder. Symptoms include right upper abdominal pain, pain in the right shoulder, nausea, vomiting, and occasionally fever. Often gallbladder attacks precede acute cholecystitis. The pain lasts longer in cholecystitis than in a typical gallbladder attack. Without appropriate treatment, recurrent episodes of cholecystitis are common. Complications of acute cholecystitis include gallstone pancreatitis, common bile duct stones, or inflammation of the common ",intense right upper | abdominal pain | nausea | vomiting | fever | [ | 1 | ],8,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/AcuteCholMark.png/330px-AcuteCholMark.png,data/images\Cholecystitis.jpg
ascending cholangitis,Cholangitis,"Ascending cholangitis, also known as acute cholangitis or simply cholangitis, is inflammation of the bile duct, usually caused by bacteria ascending from its junction with the duodenum. It tends to occur if the bile duct is already partially obstructed by gallstones.",jaundice | fever | and | abdominal pain,4,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Cholangitis.jpg/330px-Cholangitis.jpg,data/images\Ascending_cholangitis.jpg
primary sclerosing cholangitis,Primary sclerosing cholangitis,"Primary sclerosing cholangitis (PSC) is a long-term progressive disease of the liver and gallbladder characterized by inflammation and scarring of the bile ducts, which normally allow bile to drain from the gallbladder. Affected individuals may have no symptoms or may experience signs and symptoms of liver disease, such as jaundice, itching, and abdominal pain.",typically no symptoms | abdominal pain | fatigue | fever | jaundice,5,https://upload.wikimedia.org/wikipedia/commons/3/37/Cholangiogram_of_primary_sclerosing_cholangitis.jpg,data/images\Primary_sclerosing_cholangitis.jpg
primary biliary cholangitis,Primary biliary cholangitis,"Primary biliary cholangitis (PBC), previously known as primary biliary cirrhosis, is an autoimmune disease of the liver. It results from a slow, progressive destruction of the small bile ducts of the liver, causing bile and other toxins to build up in the liver, a condition called cholestasis. Further slow damage to the liver tissue can lead to scarring, fibrosis, and eventually cirrhosis.",cholestasis | pruritus | fatigue,3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Primary_biliary_cirrhosis_intermed_mag_much_cropping.jpg/330px-Primary_biliary_cirrhosis_intermed_mag_much_cropping.jpg,data/images\Primary_biliary_cholangitis.jpg
